DATE,AB,BC,Kavik,MB,NB,NL-Land,NL-OS,NWT,NS-Land,NS-OS,ON-Land,ON-OS,QC,SK
2003-03-28,195,69,0,0,0,0,4,3,0,0,0,0,0,17
2003-04-04,164,40,0,0,0,0,3,3,0,0,0,0,0,11
2003-04-11,139,22,0,0,0,0,3,3,0,0,0,0,0,8
2003-04-17,84,16,0,0,0,0,1,2,0,0,0,0,0,6
2003-04-25,75,15,0,0,0,0,1,2,0,0,0,0,0,5
2003-05-02,84,13,0,0,0,0,3,2,0,1,0,0,0,7
2003-05-09,62,10,0,0,0,0,3,2,0,1,0,0,0,13
2003-05-16,62,9,0,0,0,0,3,2,0,1,0,0,0,22
2003-05-23,123,6,0,1,0,0,3,1,0,1,0,0,0,56
2003-05-30,189,7,0,0,0,0,3,1,0,2,1,1,0,54
2003-06-06,199,6,0,1,0,0,2,1,0,1,1,1,0,56
2003-06-13,253,5,0,3,0,0,2,1,0,1,1,1,0,48
2003-06-20,269,8,0,1,0,0,2,1,0,1,1,1,0,53
2003-06-27,242,10,0,3,0,0,1,1,0,2,1,1,0,49
2003-07-03,291,16,0,2,0,0,2,1,0,2,1,1,0,58
2003-07-11,291,19,0,1,0,0,2,1,0,2,1,1,0,63
2003-07-18,317,27,0,3,0,0,2,1,0,2,1,1,0,57
2003-07-25,328,33,0,3,0,0,3,1,1,1,1,1,0,52
2003-08-01,317,35,0,1,0,0,3,1,1,1,1,1,0,55
2003-08-08,304,34,0,1,0,0,4,1,1,1,0,1,0,50
2003-08-15,307,37,0,1,0,0,3,1,1,1,0,1,0,53
2003-08-22,301,43,0,1,0,0,2,1,1,0,0,1,1,45
2003-08-29,306,51,0,1,0,0,3,1,1,0,0,1,1,42
2003-09-05,269,47,0,1,0,0,4,1,0,1,0,1,1,42
2003-09-12,280,44,0,2,0,0,4,0,0,1,0,1,1,45
2003-09-19,237,45,0,0,0,0,3,0,1,1,0,1,1,49
2003-09-26,214,42,0,2,0,0,2,0,1,1,0,1,1,44
2003-10-03,292,49,0,2,0,0,3,0,0,1,0,0,1,48
